genre,avg_genre_rating,ratings_count,movies_count
Film-Noir,3.915774014636868,304710,350
War,3.7916994435766664,1594110,2225
Crime,3.6917711184948736,5373051,6704
Documentary,3.6911815290871948,427353,9103
Drama,3.6824540581800784,13973271,33152
Mystery,3.673102967818112,2615322,3894
Animation,3.6153322869262636,2214562,4586
Western,3.6001753109842554,596654,1489
IMAX,3.593312447839248,1494179,195
Musical,3.554276956937205,1159516,1033
Romance,3.5450028644529983,5524615,10048
Thriller,3.5317020152396505,8679464,11555
Adventure,3.5234385724723545,7590522,5156
Fantasy,3.512174705402107,3702759,3784
Sci-Fi,3.4916991949223912,5717337,4797
Action,3.476407141777424,9665213,9296
Children,3.4392409733948646,2731841,4447
Comedy,3.4323856961311248,11206926,22448
Horror,3.3071549944529486,2492315,8468
